Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Group Membership,E-mail 1 - Type,E-mail 1 - Value,Phone 1 - Type,Phone 1 - Value,Phone 2 - Type,Phone 2 - Value,Phone 3 - Type,Phone 3 - Value,Phone 4 - Type,Phone 4 - Value,Phone 5 - Type,Phone 5 - Value
Stevesy@conehouse.me,Stevesy@conehouse,,me,,,,,,,,,,,,,,,,,,,,,,,* My Contacts,* Home,stevesy@conehouse.me,Main,1 233-245-5555,Home,(410) 324-5555,Other,(369) 369-5555 ::: (258) 258-5555 ::: 415-361-9574,Mobile,(415) 324-5555,Work,(510) 324-5555
zzz1 zzyyy1,zzz1,,zzyyy1,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1zzyyy1@thatmightbe.com,,,,,,,,,,
zzz10 zzyyy10,zzz10,,zzyyy10,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz10zzyyy10@thatmightbe.com,,,,,,,,,,
zzz100 zzyyy100,zzz100,,zzyyy100,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz100zzyyy100@thatmightbe.com,,,,,,,,,,
zzz1000 zzyyy1000,zzz1000,,zzyyy1000,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1000zzyyy1000@thatmightbe.com,,,,,,,,,,
zzz1001 zzyyy1001,zzz1001,,zzyyy1001,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1001zzyyy1001@thatmightbe.com,,,,,,,,,,
zzz1002 zzyyy1002,zzz1002,,zzyyy1002,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1002zzyyy1002@thatmightbe.com,,,,,,,,,,
zzz1003 zzyyy1003,zzz1003,,zzyyy1003,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1003zzyyy1003@thatmightbe.com,,,,,,,,,,
zzz1004 zzyyy1004,zzz1004,,zzyyy1004,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1004zzyyy1004@thatmightbe.com,,,,,,,,,,
zzz1005 zzyyy1005,zzz1005,,zzyyy1005,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1005zzyyy1005@thatmightbe.com,,,,,,,,,,
zzz1006 zzyyy1006,zzz1006,,zzyyy1006,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1006zzyyy1006@thatmightbe.com,,,,,,,,,,
zzz1007 zzyyy1007,zzz1007,,zzyyy1007,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1007zzyyy1007@thatmightbe.com,,,,,,,,,,
zzz1008 zzyyy1008,zzz1008,,zzyyy1008,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1008zzyyy1008@thatmightbe.com,,,,,,,,,,
zzz1009 zzyyy1009,zzz1009,,zzyyy1009,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1009zzyyy1009@thatmightbe.com,,,,,,,,,,
zzz101 zzyyy101,zzz101,,zzyyy101,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz101zzyyy101@thatmightbe.com,,,,,,,,,,
zzz1010 zzyyy1010,zzz1010,,zzyyy1010,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1010zzyyy1010@thatmightbe.com,,,,,,,,,,
zzz1011 zzyyy1011,zzz1011,,zzyyy1011,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1011zzyyy1011@thatmightbe.com,,,,,,,,,,
zzz1012 zzyyy1012,zzz1012,,zzyyy1012,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1012zzyyy1012@thatmightbe.com,,,,,,,,,,
zzz1013 zzyyy1013,zzz1013,,zzyyy1013,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1013zzyyy1013@thatmightbe.com,,,,,,,,,,
zzz1014 zzyyy1014,zzz1014,,zzyyy1014,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1014zzyyy1014@thatmightbe.com,,,,,,,,,,
zzz1015 zzyyy1015,zzz1015,,zzyyy1015,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1015zzyyy1015@thatmightbe.com,,,,,,,,,,
zzz1016 zzyyy1016,zzz1016,,zzyyy1016,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1016zzyyy1016@thatmightbe.com,,,,,,,,,,
zzz1017 zzyyy1017,zzz1017,,zzyyy1017,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1017zzyyy1017@thatmightbe.com,,,,,,,,,,
zzz1018 zzyyy1018,zzz1018,,zzyyy1018,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1018zzyyy1018@thatmightbe.com,,,,,,,,,,
zzz1019 zzyyy1019,zzz1019,,zzyyy1019,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1019zzyyy1019@thatmightbe.com,,,,,,,,,,
zzz102 zzyyy102,zzz102,,zzyyy102,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz102zzyyy102@thatmightbe.com,,,,,,,,,,
zzz1020 zzyyy1020,zzz1020,,zzyyy1020,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1020zzyyy1020@thatmightbe.com,,,,,,,,,,
zzz1021 zzyyy1021,zzz1021,,zzyyy1021,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1021zzyyy1021@thatmightbe.com,,,,,,,,,,
zzz1022 zzyyy1022,zzz1022,,zzyyy1022,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1022zzyyy1022@thatmightbe.com,,,,,,,,,,
zzz1023 zzyyy1023,zzz1023,,zzyyy1023,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1023zzyyy1023@thatmightbe.com,,,,,,,,,,
zzz1024 zzyyy1024,zzz1024,,zzyyy1024,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1024zzyyy1024@thatmightbe.com,,,,,,,,,,
zzz1025 zzyyy1025,zzz1025,,zzyyy1025,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1025zzyyy1025@thatmightbe.com,,,,,,,,,,
zzz1026 zzyyy1026,zzz1026,,zzyyy1026,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1026zzyyy1026@thatmightbe.com,,,,,,,,,,
zzz1027 zzyyy1027,zzz1027,,zzyyy1027,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1027zzyyy1027@thatmightbe.com,,,,,,,,,,
zzz1028 zzyyy1028,zzz1028,,zzyyy1028,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1028zzyyy1028@thatmightbe.com,,,,,,,,,,
zzz1029 zzyyy1029,zzz1029,,zzyyy1029,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz1029zzyyy1029@thatmightbe.com,,,,,,,,,,
zzz103 zzyyy103,zzz103,,zzyyy103,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Imported 6/14/14,* Other,zzz103zzyyy103@thatmightbe.com,,,,,,,,,,
